source,dataset_id,indicator_id,indicator_name,geo_id,geo_name,period,period_type,value,unit,dimensions,source_url,retrieved_at,quality_flags
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,100.56,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '115 январь'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,101.32,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '114 февраль'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,100.74,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '68 март'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,100.74,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '61 апрель'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,101.49,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '67 май'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,99.58,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '66 июнь'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,100.28,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '65 июль'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,100.31,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '60 август'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,101.4,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '108 сентябрь'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
fedstat,58604,58604,inflation,Российская Федерация,Российская Федерация,2023,month,100.8,744 процент,"{'Аналитические категории': '\n52 Инвестиционные товары', 'Каналы реализации': '1 Всего', 'Период': '105 октябрь'}",https://www.fedstat.ru/indicator/58604,2026-05-12T00:45:39Z,[]
